ínàÊÉRÅ[Éh,ínàÊéØï ÉRÅ[Éh,,êlå˚Å@ïΩê¨27îN,êlå˚Å@ïΩê¨22îNÅiëgë÷Åj,ïΩê¨22îNÅ`27îNÇÃêlå˚ëùå∏êî,ïΩê¨22îNÅ`27îNÇÃêlå˚ëùå∏ó¶ÅiÅìÅj,ñ êœÅikm2Åj 1),êlå˚ñßìxÅi1km2ìñÇΩÇËÅj 2),ê¢ë—êîÅ@ïΩê¨27îN,ê¢ë—êîÅ@ïΩê¨22îNÅiëgë÷Åj,ïΩê¨22îNÅ`27îNÇÃê¢ë—ëùå∏êî,ïΩê¨22îNÅ`27îNÇÃê¢ë—ëùå∏ó¶ÅiÅìÅj
0,a,ëSçë,127110047,128057352,-947305,-0.739750577,377972.28,340.8,53403226,51950504,1452722,2.796357856
1,b,ésïî,116149227,116549098,-399871,-0.343092316,216974.68,535.5,49277163,47812998,1464165,3.062273987
2,b,åSïî,10960820,11508254,-547434,-4.756881452,160913.85,70.3,4126063,4137506,-11443,-0.276567575
1000,a,ñkäCìπ,5383579,5506419,-122840,-2.23085094,83424.22,68.6,2440502,2424317,16185,0.667610713
1001,b,ésïî,4396822,4449360,-52538,-1.180799036,18536.19,238.4,2017391,1989236,28155,1.415367508
1002,b,åSïî,986757,1057059,-70302,-6.650716753,64829.02,16.5,423111,435081,-11970,-2.751211843
1100,1,éDñyés,1953784,1913545,40239,2.102850991,1121.26,1742.5,919198,885848,33350,3.764754224
1101,0,éDñyés íÜâõãÊ,237784,220189,17595,7.990862396,46.42,5122.4,131598,120741,10857,8.991974557
1102,0,éDñyés ñkãÊ,285432,278781,6651,2.385743648,63.57,4490,133522,127440,6082,4.772441934
1103,0,éDñyés ìåãÊ,262075,255873,6202,2.423858711,56.97,4600.2,124424,118939,5485,4.611607631
1104,0,éDñyés îíêŒãÊ,209770,204259,5511,2.698045129,34.47,6085.6,103548,100444,3104,3.090279161
1105,0,éDñyés ñLïΩãÊ,218792,212118,6674,3.146361931,46.23,4732.7,109439,107179,2260,2.108622025
1106,0,éDñyés ìÏãÊ,141358,146341,-4983,-3.405060783,657.48,215,61197,62776,-1579,-2.515292469
1107,0,éDñyés êºãÊ,213822,211229,2593,1.227577653,75.1,2847.2,97677,96421,1256,1.302620798
1108,0,éDñyés å˙ï ãÊ,127826,128492,-666,-0.518320207,24.38,5243.1,55540,54099,1441,2.663635187
1109,0,éDñyés éËàÓãÊ,141061,139644,1417,1.014723153,56.77,2484.8,57206,55050,2156,3.9164396
1110,0,éDñyés ê¥ìcãÊ,115864,116619,-755,-0.647407369,59.87,1935.3,45047,42759,2288,5.350920274
1202,2,îüäŸés,266117,279127,-13010,-4.660960781,677.83,392.6,123968,126180,-2212,-1.753051197
1203,2,è¨íMés,121910,131928,-10018,-7.593535868,243.83,500,55266,57711,-2445,-4.236627333
1204,2,àÆêÏés,339797,347095,-7298,-2.102594391,747.66,454.5,155756,154393,1363,0.882812045
1205,2,é∫óñés,88585,94535,-5950,-6.293965198,80.88,1095.3,43552,45029,-1477,-3.280108375
1206,2,ã˙òHés,174804,181169,-6365,-3.513294217,1362.92,128.3,82111,81015,1096,1.352835895
1207,2,ë—çLés,169389,168057,1332,0.792588229,619.34,273.5,77679,75474,2205,2.921535893
